name,email,institution
CodeNinjas,codeninja@university1.edu,University of Technology
Binary Warriors,warriors@techcollege.edu,Tech College
Algorithm Avengers,avengers@stateuniv.edu,State University
Data Dynamos,dynamos@privateuni.edu,Private University
Logic Legends,legends@community.edu,Community College
Syntax Spartans,spartans@institute.edu,Technical Institute
Debug Dragons,dragons@university2.edu,Metropolitan University
Compile Champions,champions@academy.edu,Coding Academy
Runtime Rangers,rangers@college.edu,Engineering College
Exception Experts,experts@university3.edu,Science University
Recursive Rebels,rebels@techuniv.edu,Technology University
Boolean Bulldogs,bulldogs@statecollege.edu,State College
Function Phoenixes,phoenixes@university4.edu,Research University
Variable Vikings,vikings@localcollege.edu,Local College
Method Masters,masters@university5.edu,Central University
Class Crusaders,crusaders@institute2.edu,Advanced Institute
Object Oracles,oracles@university6.edu,Public University
Array Assassins,assassins@techcenter.edu,Technical Center
Stack Samurai,samurai@university7.edu,National University
Heap Heroes,heroes@college2.edu,Modern College
Queue Quakers,quakers@university8.edu,Liberal Arts University
Tree Titans,titans@polytechnic.edu,Polytechnic Institute
Graph Gladiators,gladiators@university9.edu,Regional University
Node Navigators,navigators@techschool.edu,Technical School
Link Lancers,lancers@university10.edu,Urban University
Pointer Paladins,paladins@college3.edu,Community Tech
Buffer Berserkers,berserkers@university11.edu,International University
Cache Cavaliers,cavaliers@institute3.edu,Innovation Institute
Memory Mages,mages@university12.edu,Digital University
Process Pirates,pirates@college4.edu,Future College
Thread Thunders,thunders@university13.edu,Excellence University
Socket Sorcerers,sorcerers@techcampus.edu,Tech Campus
Protocol Panthers,panthers@university14.edu,Advanced University
Network Nomads,nomads@college5.edu,Network College
Packet Predators,predators@university15.edu,Connected University
Firewall Falcons,falcons@cybercollege.edu,Cyber College
Encryption Eagles,eagles@university16.edu,Security University
Hash Hawks,hawks@institute4.edu,Cryptography Institute
Cipher Cyclones,cyclones@university17.edu,Information University
Key Krakens,krakens@college6.edu,Privacy College
Token Tigers,tigers@university18.edu,Authentication University
Session Sharks,sharks@webuniversity.edu,Web University
Cookie Cobras,cobras@university19.edu,Browser University
API Ants,ants@servicecollege.edu,Service College
REST Raptors,raptors@university20.edu,Integration University
JSON Jaguars,jaguars@datacollege.edu,Data College
XML Xenomorphs,xenomorphs@university21.edu,Markup University
HTML Hippos,hippos@webcollege.edu,Web Development College
